RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishRoundTimeSecs,TotalFightDurationSecs,RedWin,BlueWin,RedWinPercentage,BlueWinPercentage
Timur Valiev,Trevin Jones,0.518918918918919,0.6348,0.016697532467532465,0.29316130856357914,2020-08-22,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,177.8,140,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,145,30,30,0,0,0,0,0,0,0,0,0,2.54,7.62,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,,,,0.10739436619718312,0.265625,0.1529294935451837,0.3935376967688484,0.31007751937984496,0.367816091954023,,,False,True,0.0,0.6666666666666666
Stipe Miocic,Daniel Cormier,0.6825225225225224,0.43520000000000003,0.11602545454545454,0.06267282418908841,2020-08-15,"Las Vegas, Nevada, USA",USA,Red,True,Heavyweight,MALE,5,1,0,0,4.25,0.52,0.5,1.95,0.44,12,2,58,10,0,1,6,8,4,0,19,Orthodox,180.34,182.88,235,0,1,0,4.95,0.52,0.0,2.2,0.37,6,3,39,6,0,0,4,9,0,0,13,Orthodox,193.04,203.2,240,37,41,1,-1,6,6,-1,19,4,-1,4,-12.7,-20.32,4,-0.7,0.5,-0.25,1.0,1.0,0.0,,,,,0.0,,,,,,,,3.0,,,,,1.0,,,,,,,,6.0,Red,U-DEC,Unknown,,,,0.295774647887324,0.1640625,0.47070506454816285,0.30654515327257664,0.2186046511627907,0.15229885057471265,,,True,False,1.0,0.0
Sean O'Malley,Marlon Vera,0.6108108108108108,0.5760000000000001,0.03608688311688312,0.1793548598876165,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,1,0,0,3.7,0.48,1.3,0.88,0.42,5,5,34,0,0,0,1,4,4,0,9,Switch,172.72,177.8,145,0,4,0,6.86,0.58,1.2,1.18,0.5,4,0,8,0,0,0,2,2,0,0,4,Switch,180.34,182.88,135,25,27,1,-4,1,5,5,26,0,2,4,-7.62,-5.08,2,-3.16,0.1,-0.3,1.0,,14.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,Red,KO/TKO,Elbows,,,,0.20950704225352115,0.25,0.23237338629592852,0.2899751449875725,0.20775193798449612,0.3103448275862069,,,False,True,1.0,0.75
Junior Dos Santos,Jairzinho Rozenstruik,0.7621621621621621,0.42280000000000006,0.14285714285714285,0.047687843930636284,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,1,0,0,3.84,0.48,0.0,0.0,0.0,4,1,10,0,0,0,0,4,0,0,4,Orthodox,193.04,198.12,242,2,0,0,4.66,0.48,0.1,0.33,0.55,9,6,54,5,0,0,5,10,0,0,15,Orthodox,193.04,195.58,238,36,32,-1,0,-5,-11,-5,-44,-5,-6,0,0.0,2.54,-4,-0.82,-0.1,-0.33,1.0,6.0,5.0,,,,,5.0,,,,,,,,,,,,,6.0,,,,,,,,,Red,KO/TKO,Punch,,,,0.27816901408450706,0.25,0.23237338629592852,0.7042253521126761,0.26356589147286824,0.10919540229885058,,,False,True,0.0,0.5
John Dodson,Merab Dvalishvili,0.7884684684684684,0.384,0.23766233766233766,0.025806502559832193,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,4,0,4.01,0.39,0.3,8.67,0.5,4,2,18,0,0,0,4,0,0,0,4,Orthodox,167.64,172.72,135,0,1,0,3.3,0.41,0.0,0.76,0.28,3,6,46,3,0,1,3,6,0,0,10,Orthodox,160.02,167.64,135,35,29,0,3,1,-6,-4,-28,-3,-6,0,7.62,5.08,-6,0.71,0.3,7.91,1.0,15.0,12.0,,,,,,,,,,,12.0,,,,,,,,,,,,,15.0,,,Red,U-DEC,Unknown,,,,0.31338028169014087,0.004687499999999997,0.3714001986097319,0.3728251864125932,0.2868217054263566,0.367816091954023,,,False,True,0.0,1.3333333333333333
Jim Miller,Vinc Pichel,0.7567567567567567,0.4304,0.12337662337662336,0.05598340500687988,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,3.29,0.45,0.4,4.0,0.6,4,2,16,0,0,0,4,1,0,0,5,Orthodox,177.8,182.88,155,0,1,0,2.81,0.4,1.9,1.68,0.41,7,13,77,0,0,2,6,3,10,0,21,Southpaw,172.72,180.34,155,36,37,0,0,-3,-16,-11,-61,0,-2,-10,5.08,2.54,1,0.48,-1.5,2.32,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,,,,0.27816901408450706,0.11875,0.12313803376365443,0.45567522783761394,0.4186046511627907,0.1810344827586207,,,False,True,0.7142857142857143,inf
Ashley Yoder,Livinha Souza,0.7675675675675675,0.4152,0.16233766233766234,0.04133814086869314,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,1,0,0,1.79,0.37,1.9,3.35,0.5,2,1,7,0,0,1,0,0,1,0,2,Orthodox,160.02,160.02,115,1,0,0,3.1,0.42,0.5,1.33,0.38,2,4,18,0,0,1,1,0,0,0,2,Southpaw,170.18,175.26,115,32,29,0,0,0,0,-3,-11,0,0,1,-10.16,-15.24,-3,-1.31,1.4,2.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,,,,0.2183098591549296,0.0953125,0.3217477656405164,0.26926263463131733,0.6666666666666667,0.2600574712643678,,,False,True,0.5,inf
Felice Herrig,Virna Jandiroba,0.8072072072072072,0.35400000000000004,0.3051948051948052,0.01812596082255585,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,1.13,0.42,2.1,4.23,0.46,1,1,5,0,0,0,0,0,1,0,1,Orthodox,160.02,162.56,115,2,0,0,3.69,0.36,0.9,1.2,0.3,4,3,21,0,0,1,2,0,2,0,5,Orthodox,162.56,165.1,115,35,32,-2,1,-3,-4,-2,-16,0,0,-1,-2.54,-2.54,-3,-2.56,1.2,3.03,1.0,,15.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,Red,SUB,Armbar,,,,0.27816901408450706,0.0953125,0.47070506454816285,0.24026512013256007,0.6356589147286822,0.367816091954023,,,False,True,0.0,0.75
Herbert Burns,Daniel Pineda,0.6176576576576576,0.5700000000000001,0.03891558441558442,0.16774195696149788,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,2,0,0,2.99,0.43,2.0,1.46,0.25,2,4,13,0,0,0,0,0,3,0,3,Orthodox,170.18,177.8,145,0,2,0,2.6,0.44,6.9,4.59,1.0,2,0,2,0,0,0,0,1,1,0,2,Orthodox,175.26,185.42,145,32,35,2,-2,0,1,4,11,0,-1,2,-5.08,-7.62,3,0.39,-4.9,-3.13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,,,,0.3573943661971831,0.28125,0.04865938430983119,0.3562551781275891,0.32558139534883723,0.2025862068965517,,,False,True,0.0,0.5
TJ Brown,Danny Chavez,0.6605405405405405,0.532,0.07127298701298701,0.09419357176274654,2020-08-15,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,145,1,0,0,3.47,0.54,0.7,8.33,0.85,0,1,2,0,0,0,0,0,0,0,0,Switch,175.26,182.88,145,30,33,-1,0,0,0,-1,-2,0,0,0,-2.54,-10.16,3,-3.47,-0.7,-8.33,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,,,,0.2605633802816902,0.1796875,0.12810327706057598,0.45567522783761394,0.32558139534883723,0.17385057471264367,,,False,True,1.0,0.5
Chris Daukaus,Parker Porter,0.6825225225225224,0.4328,0.11602545454545454,0.05915806298946935,2020-08-15,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,0,0,8.54,0.47,1.9,1.91,1.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.0,172.0,260,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,256,30,30,0,0,0,0,0,0,0,0,0,-187.96,-187.96,0,8.54,1.9,1.91,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,,,,0.3485915492957747,0.21875,0.2969215491559086,0.3231151615575808,0.22945736434108527,0.13218390804597702,,,True,False,2.0,0.4
Derrick Lewis,Aleksei Oleinik,0.6486486486486486,0.544,0.05844155844155843,0.1174193776149838,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,5,0,2,0,3.72,0.5,2.2,2.41,0.46,2,4,19,0,0,1,0,1,6,0,8,Orthodox,187.96,203.2,240,0,2,0,2.53,0.49,0.0,0.48,0.24,6,5,44,1,0,2,2,10,0,0,14,Orthodox,190.5,200.66,260,35,43,0,0,-4,-6,-1,-25,-1,-9,6,-2.54,2.54,8,1.19,2.2,1.93,1.0,10.0,4.0,,,,,4.0,,,,,,,,,,,,,10.0,,,,,,,,,Red,,Unknown,,,,0.4014084507042254,0.3125,0.47070506454816285,0.23695111847555925,0.12248062015503876,0.28160919540229884,,,True,False,0.5,0.0
Omari Akhmedov,Chris Weidman,0.7621621621621621,0.42360000000000003,0.14285714285714285,0.04845576649146409,2020-08-08,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,2,0,0,3.14,0.42,1.0,3.82,0.5,9,5,36,5,0,0,3,4,3,0,10,Orthodox,187.96,198.12,205,0,5,1,2.99,0.34,0.2,2.4,0.5,3,3,30,0,0,1,5,2,0,0,8,Orthodox,182.88,185.42,185,32,36,2,-5,6,2,2,6,5,2,3,5.08,12.7,4,0.15,0.8,1.42,1.0,,11.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,Red,,Unknown,,,,0.3045774647887324,0.125,0.47070506454816285,0.2734051367025684,0.24806201550387597,0.22413793103448276,,,False,True,0.5,1.0
Maki Pitolo,Darren Stewart,0.7657657657657657,0.41800000000000004,0.15584415584415584,0.04349636016783587,2020-08-08,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,2,0,2.94,0.44,0.0,1.38,0.44,2,4,20,0,0,1,1,2,0,0,4,Orthodox,182.88,187.96,185,0,1,0,5.22,0.45,0.7,1.98,0.6,1,1,5,0,0,0,0,1,0,0,1,Orthodox,177.8,190.5,170,29,29,0,1,1,3,3,15,0,1,0,5.08,-2.54,0,-2.28,-0.7,-0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.2869718309859155,0.140625,0.27209533267130087,0.45567522783761394,0.2713178294573644,0.1293103448275862,,,False,True,0.0,0.3333333333333333
Yana Kunitskaya,Julija Stoliarenko,0.6522522522522523,0.54,0.06185922077922078,0.10967744233090472,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,1,0,0,3.8,0.36,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,135,1,0,0,5.05,0.52,0.3,2.39,0.53,2,2,10,1,0,0,2,0,0,0,2,Orthodox,167.64,172.72,135,30,27,0,0,-2,-2,-1,-7,-1,0,0,2.54,-5.08,-3,-1.25,0.7,-2.39,1.0,,8.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,Red,,Unknown,,,,0.11795774647887325,0.234375,0.23237338629592852,0.25683512841756423,0.32558139534883723,0.367816091954023,,,True,False,inf,0.4
Beneil Dariush,Scott Holtzman,0.6486486486486486,0.544,0.05844155844155843,0.1174193776149838,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2,0,4.52,0.49,0.2,2.23,0.6,3,3,29,0,0,0,4,2,1,0,7,Orthodox,175.26,175.26,155,0,4,1,3.87,0.49,1.1,1.8,0.33,5,4,35,0,0,1,4,2,5,0,12,Southpaw,177.8,182.88,155,31,36,0,-2,-2,-5,-1,-6,0,0,-4,-2.54,-7.62,5,0.65,-0.9,0.43,1.0,,14.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,Red,,Unknown,,,,0.23943661971830987,0.171875,0.11717974180734855,0.5385252692626347,0.31007751937984496,0.1954022988505747,,,True,False,1.0,0.0
Tim Means,Laureano Staropoli,0.7639639639639639,0.42000000000000004,0.14935064935064934,0.04516134077002992,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,4.29,0.31,0.0,0.33,0.25,2,1,9,0,0,0,2,0,0,0,2,Orthodox,185.42,180.34,170,1,0,0,4.87,0.45,0.2,0.91,0.44,4,9,45,0,0,1,3,5,2,0,11,Orthodox,187.96,190.5,170,36,27,0,0,-2,-9,-8,-36,0,-5,-2,-2.54,-10.16,-9,-0.58,-0.2,-0.58,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.2605633802816902,0.140625,0.21251241310824232,0.4391052195526098,0.3023255813953488,0.15948275862068967,,,True,False,0.6,0.0
Kevin Holland,Joaquin Buckley,0.5567567567567567,0.6132000000000001,0.022049350649350652,0.25135485802955204,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,185,0,1,0,4.29,0.55,1.1,1.26,0.43,3,2,15,0,0,1,1,1,1,0,4,Orthodox,190.5,205.74,170,27,26,0,-1,-3,-4,-2,-15,0,-1,-1,-12.7,-20.32,-1,-4.29,-1.1,-1.26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.2605633802816902,0.375,0.12015888778550149,0.45567522783761394,0.2310077519379845,0.2385057471264368,,,True,False,0.8571428571428571,0.6666666666666666
Nasrat Haqparast,Alex Munoz,0.6342342342342342,0.5552,0.0476190909090909,0.13909679641040523,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,4.07,0.63,0.0,4.0,0.66,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,175.26,155,1,0,0,5.25,0.47,0.0,0.29,0.25,3,2,12,0,0,0,2,1,0,0,3,Southpaw,177.8,182.88,155,24,30,-1,0,-3,-3,-2,-12,0,-1,0,-2.54,-7.62,6,-1.18,0.0,3.71,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.221830985915493,0.15625,0.4111221449851043,0.45567522783761394,0.2248062015503876,0.3103448275862069,,,True,False,1.3333333333333333,0.0
Andrew Sanchez,Wellington Turman,0.7675675675675675,0.4152,0.16233766233766234,0.04133814086869314,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,1,0,2.43,0.42,1.0,3.0,0.37,1,1,6,0,0,0,1,0,0,0,1,Orthodox,182.88,182.88,185,1,0,0,4.49,0.43,0.0,2.25,0.33,2,3,21,1,0,0,4,0,0,0,4,Orthodox,185.42,187.96,185,32,24,-1,1,-1,-3,-2,-15,-1,0,0,-2.54,-5.08,-8,-2.06,1.0,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.21126760563380284,0.1125,0.3217477656405164,0.30654515327257664,0.4496124031007752,0.22413793103448276,,,True,False,0.5,0.5
Gavin Tucker,Justin Jaynes,0.6706306306306306,0.5248,0.08693818181818183,0.08025808825140418,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,23.41,0.53,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,155,0,1,0,2.66,0.37,1.0,2.08,0.33,1,1,9,0,0,0,1,0,1,0,2,Southpaw,167.64,167.64,145,34,30,0,0,0,-1,-1,-8,0,1,-1,2.54,5.08,-4,20.75,-1.0,-2.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.2200704225352113,0.171875,0.1628599801390268,0.45567522783761394,0.3875968992248062,0.15948275862068967,,,True,False,2.0,0.0
Youssef Zalal,Peter Barrett,0.5477477477477477,0.6160000000000001,0.020562727272727274,0.2567742127284074,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,0,0,7.27,0.72,0.0,4.0,0.25,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,145,0,2,0,3.0,0.53,1.0,3.0,0.42,2,0,6,0,0,0,2,0,0,0,2,Switch,177.8,182.88,145,23,33,0,-2,-2,-2,0,-6,0,0,0,0.0,2.54,10,4.27,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.20422535211267606,0.21875,0.12313803376365443,0.48881524440762225,0.2713178294573644,0.4396551724137931,,,True,False,1.0,0.0
Irwin Rivera,Ali Qaisi,0.6536936936936937,0.5392,0.0633290909090909,0.1081290552740889,2020-08-08,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,1,0,0,2.27,0.36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,167.64,167.64,135,31,29,-1,0,0,0,-1,-3,0,0,0,5.08,5.08,-2,-2.27,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.20774647887323947,0.15625,0.3118172790466733,0.30654515327257664,0.24806201550387597,0.4396551724137931,,,True,False,inf,0.0
Derek Brunson,Edmen Shahbazyan,0.8198198198198198,0.336,0.35064935064935066,0.015053806063127586,2020-08-01,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,4,0,4.11,0.52,0.8,6.77,0.4,4,0,6,0,0,1,0,2,1,0,4,Orthodox,187.96,187.96,185,0,2,0,3.39,0.45,0.5,2.8,0.29,5,6,36,0,0,0,6,6,2,0,14,Southpaw,185.42,195.58,185,36,22,0,2,-1,-10,-6,-30,0,-4,-1,2.54,-7.62,-14,0.72,0.3,3.97,1.0,9.0,8.0,,,,,,,8.0,,,,,,,,,,,,,9.0,,,,,,,Red,KO/TKO,Punches,3.0,0:26,626.0,0.3485915492957747,0.2109375,0.3714001986097319,0.3728251864125932,0.31007751937984496,0.033045977011494254,26.0,626.0,True,False,1.0,0.0
Joanne Calderwood,Jennifer Maia,0.6623423423423423,0.532,0.07367324675324675,0.09419357176274654,2020-08-01,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,1,0,0,4.05,0.38,0.0,0.25,0.5,2,2,12,0,0,0,2,0,0,0,2,Orthodox,162.56,162.56,125,0,1,0,6.19,0.47,0.5,1.85,0.56,2,4,24,0,0,1,3,1,1,0,6,Orthodox,167.64,165.1,125,34,31,1,-1,0,-4,-2,-12,0,-1,-1,-5.08,-2.54,-3,-2.14,-0.5,-1.6,1.0,6.0,3.0,3.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,Red,SUB,Armbar,1.0,4:29,269.0,0.11443661971830987,0.125,0.23237338629592852,0.3396851698425849,0.3875968992248062,0.40373563218390807,269.0,269.0,False,True,0.0,0.5
Vicente Luque,Randy Brown,0.6486486486486486,0.544,0.05844155844155843,0.1174193776149838,2020-08-01,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,2,0,3.41,0.47,0.6,0.95,0.46,2,3,23,0,0,0,2,2,2,0,6,Orthodox,190.5,198.12,170,0,1,0,5.66,0.53,0.8,0.73,0.5,6,3,28,0,0,1,0,7,3,0,11,Orthodox,180.34,190.5,170,28,30,0,1,-4,-5,0,-5,0,-5,-1,10.16,7.62,2,-2.25,-0.2,0.22,1.0,,12.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Knee,2.0,4:56,596.0,0.2693661971830986,0.1875,0.1727904667328699,0.3935376967688484,0.22325581395348837,0.1954022988505747,296.0,596.0,True,False,0.5,0.5
Lando Vannata,Bobby Green,0.6623423423423423,0.532,0.07367324675324675,0.09419357176274654,2020-08-01,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,1,5.01,0.49,0.4,1.19,0.31,8,7,47,0,0,2,4,1,3,0,10,Orthodox,177.8,180.34,155,0,1,2,4.72,0.44,0.4,1.15,0.36,1,4,22,0,0,0,1,1,1,0,3,Orthodox,175.26,180.34,155,28,33,0,0,7,7,3,25,0,0,2,2.54,0.0,5,0.29,0.0,0.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.20598591549295775,0.12187500000000001,0.2522343594836147,0.3728251864125932,0.31007751937984496,0.2385057471264368,300.0,900.0,False,True,0.3333333333333333,0.6666666666666666
Frankie Saenz,Jonathan Martinez,0.7927927927927928,0.38,0.2532467532467532,0.02451615420603473,2020-08-01,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,1,0,0,3.67,0.47,0.0,0.51,0.28,2,2,12,0,0,0,1,1,0,0,2,Southpaw,172.72,177.8,135,1,0,0,3.97,0.46,0.1,1.77,0.32,3,4,25,0,0,2,3,0,0,0,5,Orthodox,167.64,167.64,135,39,26,0,0,-1,-3,-2,-13,0,1,0,5.08,10.16,-13,-0.3,-0.1,-1.26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,3.0,0:57,657.0,0.24647887323943662,0.10625000000000001,0.3714001986097319,0.3728251864125932,0.5193798449612403,0.14367816091954022,57.0,657.0,False,True,0.0,1.25
Johnny Munoz,Nate Maness,0.7603603603603604,0.4252,0.13636363636363635,0.05005888903073835,2020-08-01,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,135,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,145,27,29,0,0,0,0,0,0,0,0,0,2.54,2.54,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.24295774647887325,0.13125,0.22244289970208542,0.48881524440762225,0.30077519379844964,0.1724137931034483,300.0,900.0,False,True,0.5,1.0
Jamall Emmers,Vince Cachero,0.590990990990991,0.5860000000000001,0.029581558441558437,0.19870969809781425,2020-08-01,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,145,1,0,0,4.96,0.52,0.0,1.42,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,145,31,30,-1,0,0,0,-1,-3,0,0,0,-10.16,-15.24,-1,-4.96,0.0,-1.42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.21126760563380284,0.296875,0.17775571002979146,0.43330571665285833,0.22325581395348837,0.40948275862068967,300.0,900.0,True,False,0.6666666666666666,0.0
Robert Whittaker,Darren Till,0.6738738738738739,0.5228,0.09340662337662338,0.07638712060936463,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,5,0,1,1,2.41,0.46,0.0,0.66,0.41,4,2,24,1,0,1,3,2,0,0,6,Southpaw,182.88,187.96,185,1,0,0,4.77,0.39,0.0,0.36,0.57,9,3,37,3,0,1,5,5,0,0,11,Orthodox,182.88,185.42,185,29,27,-1,1,-5,-5,-1,-13,-2,-3,0,0.0,2.54,-2,-2.36,0.0,0.3,1.0,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,Red,U-DEC,Unknown,5.0,5:00,1500.0,0.24295774647887325,0.15625,0.2522343594836147,0.3562551781275891,0.23255813953488372,0.14942528735632182,300.0,1500.0,True,False,1.0,0.0
Mauricio Rua,Rogerio Nogueira,0.6522522522522523,0.54,0.06185922077922078,0.10967744233090472,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,MALE,3,1,0,0,2.39,0.34,0.8,0.67,0.44,7,8,57,0,0,3,4,8,4,0,19,Southpaw,187.96,190.5,205,0,1,1,3.63,0.5,0.8,2.17,0.48,8,11,76,4,0,1,3,21,1,0,26,Orthodox,185.42,193.04,205,38,44,1,-1,-1,-7,-3,-19,-4,-13,3,2.54,-2.54,6,-1.24,0.0,-1.5,1.0,15.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,Red,S-DEC,Unknown,3.0,5:00,900.0,0.25176056338028174,0.21875,0.2522343594836147,0.2982601491300746,0.20465116279069767,0.18821839080459768,300.0,900.0,True,False,0.3333333333333333,0.0
