RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishRoundTimeSecs,TotalFightDurationSecs,RedWin,BlueWin,RedWinPercentage,BlueWinPercentage
Jessica Andrade,Marina Rodriguez,0.6666666666666666,0.532,0.08008662337662338,0.09419357176274654,2024-04-13,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,1,2,4.82,0.47,0.2,0.23,0.42,4,3,39,0,0,1,4,3,0,0,8,Orthodox,167.64,165.1,115,0,1,0,6.62,0.5,0.3,2.37,0.55,4,10,54,4,0,1,6,6,3,0,16,Orthodox,154.94,157.48,125,32,36,0,0,0,-8,-7,-15,-4,-3,-3,12.7,7.62,4,-1.8,-0.1,-2.14,,6.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,Blue,S-DEC,Unknown,3.0,5:00,900.0,0.24295774647887325,0.171875,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,300.0,900.0,True,False,inf,0.0
King Green,Jim Miller,0.6666666666666666,0.532,0.08008662337662338,0.09419357176274654,2024-04-13,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2,0,2.99,0.42,1.7,1.53,0.44,7,16,96,0,0,2,6,6,12,0,26,Southpaw,172.72,180.34,155,1,0,1,6.43,0.53,0.3,1.23,0.39,8,12,72,0,0,2,7,3,4,0,16,Orthodox,177.8,180.34,155,37,40,-1,2,-1,10,4,24,0,3,8,-5.08,0.0,3,-3.44,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.24295774647887325,0.171875,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,300.0,900.0,True,False,inf,0.0
Deiveson Figueiredo,Cody Garbrandt,0.6666666666666666,0.532,0.08008662337662338,0.09419357176274654,2024-04-13,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,2,0,2.98,0.4,0.0,1.03,0.34,6,5,30,3,0,0,3,6,0,0,9,Orthodox,172.72,165.1,135,0,1,1,3.01,0.55,1.6,1.68,0.35,5,3,39,6,0,1,3,4,3,0,11,Orthodox,165.1,172.72,135,36,32,0,1,1,-2,2,-9,-3,2,-3,7.62,-7.62,-4,-0.03,-1.6,-0.65,,,8.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2.0,4:02,542.0,0.24295774647887325,0.171875,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,242.0,542.0,True,False,inf,0.0
Brendan Allen,Chris Curtis,0.6396396396396395,0.554,0.051226493506493505,0.1367742158251815,2024-04-06,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,5,0,1,0,5.76,0.51,0.0,0.0,0.0,4,2,22,0,0,1,1,4,0,0,6,Orthodox,177.8,190.5,185,0,6,0,3.98,0.53,1.4,1.74,0.47,6,2,28,0,0,0,3,1,8,0,12,Orthodox,187.96,190.5,185,28,36,0,-5,-2,-6,0,-6,0,3,-8,-10.16,0.0,8,1.78,-1.4,-1.74,,14.0,6.0,,,,,,,6.0,,,,,,,,,,,,,14.0,,,,,,,Red,S-DEC,Unknown,5.0,5:00,1500.0,0.2341549295774648,0.296875,0.10824230387288977,0.6710853355426678,0.3875968992248062,0.1724137931034483,300.0,1500.0,True,False,inf,0.0
Alexander Hernandez,Damon Jackson,0.654054054054054,0.5416000000000001,0.06370662337662338,0.11277421644453635,2024-04-06,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,2,0,1,2.9,0.42,1.2,2.34,0.34,4,4,24,0,0,0,2,1,2,0,5,Switch,180.34,180.34,145,1,0,0,4.33,0.41,0.1,1.06,0.31,2,6,26,0,0,0,3,3,0,0,6,Orthodox,175.26,182.88,145,31,35,1,0,2,-1,-2,-2,0,-2,2,5.08,-2.54,4,-1.43,1.1,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,Unknown,3.0,5:00,900.0,0.295774647887324,0.203125,0.27209533267130087,0.28169014084507044,0.20775193798449612,0.339080459770115,300.0,900.0,False,True,0.0,inf
Morgan Charriere,Chepe Mariscal,0.6695495495495495,0.528,0.08496428571428571,0.08645163647866745,2024-04-06,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,2,0,4.75,0.57,0.3,3.09,0.39,2,0,5,0,0,0,1,1,0,0,2,Orthodox,170.18,175.26,145,0,1,0,3.98,0.49,0.8,1.59,0.4,1,0,1,0,0,0,0,1,0,0,1,Orthodox,172.72,175.26,145,28,31,0,1,1,1,0,4,0,0,0,-2.54,0.0,3,0.77,-0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,Unknown,3.0,5:00,900.0,0.23063380281690143,0.1234375,0.3118172790466733,0.45567522783761394,0.2558139534883721,0.3103448275862069,300.0,900.0,False,True,0.0,inf
Ignacio Bahamondes,Christos Giagos,0.609009009009009,0.5800000000000001,0.035400129870129866,0.1870967951716956,2024-04-06,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,3.03,0.41,0.4,2.84,0.36,2,7,26,0,0,0,3,1,2,0,6,Orthodox,177.8,180.34,155,1,0,0,7.15,0.46,0.4,0.0,0.0,3,2,17,0,0,0,1,2,1,0,4,Orthodox,190.5,190.5,155,26,34,0,0,-1,2,5,9,0,-1,1,-12.7,-10.16,8,-4.12,0.0,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,3:34,214.0,0.24295774647887325,0.234375,0.14895729890764647,0.38939519469759737,0.2248062015503876,0.3103448275862069,214.0,214.0,True,False,inf,0.0
Trevor Peek,Charlie Campbell,0.7675675675675675,0.41800000000000004,0.16233766233766234,0.04349636016783587,2024-04-06,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,5.55,0.54,0.0,2.95,0.4,1,1,2,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,155,0,1,0,4.58,0.54,0.0,1.82,0.53,2,1,9,0,0,0,1,2,0,0,3,Switch,175.26,177.8,155,29,28,0,0,-1,-2,0,-7,0,-1,0,7.62,5.08,-1,0.97,0.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.5070422535211268,0.25,0.4309831181727905,0.2982601491300746,0.23255813953488372,0.11781609195402298,300.0,900.0,False,True,0.0,inf
Court McGee,Alex Morono,0.8234234234234235,0.336,0.36363636363636365,0.015053806063127586,2024-04-06,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,4.96,0.41,0.4,0.36,0.26,4,6,47,0,0,1,7,2,2,0,12,Orthodox,180.34,182.88,170,2,0,0,4.6,0.37,0.4,1.84,0.25,3,11,56,1,0,1,7,0,2,0,10,Orthodox,180.34,190.5,170,39,33,-1,0,1,2,-5,-9,-1,2,0,0.0,-7.62,-6,0.36,0.0,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.27816901408450706,0.125,0.47070506454816285,0.2734051367025684,0.7286821705426356,0.1307471264367816,300.0,900.0,False,True,0.0,inf
Valter Walker,Lukasz Brzeski,0.6306306306306306,0.562,0.045454545454545456,0.1522580863933397,2024-04-06,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,3,0,0,4.9,0.5,0.5,0.46,0.5,1,3,10,0,0,0,0,0,1,0,1,Orthodox,193.04,198.12,236,0,0,0,1.86,0.52,0.8,4.52,0.75,0,0,0,0,0,0,0,0,0,0,0,Orthodox,198.12,198.12,265,26,31,3,0,1,1,3,10,0,0,1,-5.08,0.0,5,3.04,-0.3,-4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2605633802816902,0.21875,0.23237338629592852,0.5385252692626347,0.21085271317829457,0.1954022988505747,300.0,900.0,False,True,0.0,inf
